feature,importance
thal_3.0,0.09647700699451225
thalach,0.08742050147849176
oldpeak,0.08005364841502448
ca_0.0,0.07796372428073464
thal_7.0,0.07697521517603163
age,0.0734514806545776
cp_4.0,0.07114468136153596
chol,0.07078766682003157
trestbps,0.06445428733412362
exang_1.0,0.03549563381777745
exang_0.0,0.03459688668480981
slope_2.0,0.026427619540274987
slope_1.0,0.026189527652843488
sex_1.0,0.025691938745506692
sex_0.0,0.020663147713004152
ca_1.0,0.019670851495790873
cp_3.0,0.018170860051509054
cp_1.0,0.015064967822357032
restecg_2.0,0.014467146270984511
restecg_0.0,0.014019402709988266
cp_2.0,0.009965551447356027
ca_2.0,0.008995637847458948
fbs_1.0,0.008662497374913107
ca_3.0,0.008165918801545104
fbs_0.0,0.006569567016415466
thal_6.0,0.004547925553543582
slope_3.0,0.0038474681626449775
restecg_1.0,5.923877621286485e-05
